,geometry,field_date,B2,B3,B4,B8,B5,B6,B7,B8A,B11,B12,sat_mask,cloud_mask,edge_mask,geophysical_mask,sun_zen,sun_az,join_zen,join_az,s2_date,time_delta,s2_filenames,Sequent_N,Ref_N,Hour_UTC+1,Operator,Latitude,Longitude,CropHeight,BBCH,Crop-EN,Crop-ES,Crop-FR,Crop-IT,Crop-LA,Crop-PL,Rowsp_(cm),RowOr(deg),SkyCond,LicorLAI,std_Licor,PocketLAI,std_PockLA,AccuPAR,std_AccuPA,Note
47,POINT (541279.8506264635 4590289.420813426),2017-04-05,0.0368,0.0652,0.0337,0.4542,0.0977,0.3798,0.4528,0.4625,0.153,0.0764,0,0,0,0,48,156,0,0,2017-03-09,27 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWF/SENTINEL2A_20170309-095021-464_L2A_T33TWF_D_V1-4_roi_0.tif,76,D_CREA-CI_20170405_LAI,10:44 AM,Colecchia S.A. - De Santis A.P.,41.463135,15.494309,30-50 cm,,Vetch,Arveja,Vesce,Veccia,Vicia L.,Wyka,,,Sunny - no clouds,7.670,0.786,,,,,
48,POINT (541847.3834723461 4590740.439909398),2017-04-05,0.053,0.0698,0.0651,0.194,0.097,0.175,0.191,0.2041,0.1607,0.1125,0,0,0,0,48,156,0,0,2017-03-09,27 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWF/SENTINEL2A_20170309-095021-464_L2A_T33TWF_D_V1-4_roi_0.tif,77,E_CREA-CI_20170405_LAI,11:06 AM,Colecchia S.A. - De Santis A.P.,41.467168,15.501136,30-50 cm,34,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,3.577,0.175,,,,,
49,POINT (530287.8573465575 4593127.638567491),2017-04-13,0.0356,0.0637,0.0491,0.2767,0.0925,0.2494,0.2817,0.293,0.1738,0.0971,0,0,0,0,48,156,0,0,2017-03-09,35 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWF/SENTINEL2A_20170309-095021-464_L2A_T33TWF_D_V1-4_roi_0.tif,91,AA.V_LUCERA.FR_20170413_LAI,3:07 PM,Vonella V.,41.489190,15.362830,>50 cm,41,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,3.768,1.070,,,,,
50,POINT (542377.9594574135 4590304.992224817),2017-05-11,0.0755,0.0957,0.104,0.2196,0.139,0.1963,0.215,0.2339,0.2613,0.1957,0,0,0,0,48,156,0,0,2017-03-09,63 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWF/SENTINEL2A_20170309-095021-464_L2A_T33TWF_D_V1-4_roi_0.tif,101,9NT_STRATEGA_20170511_LAI,8:11 AM,Colecchia S.A. - De Santis A.P.,41.463218,15.507459,>50 cm,69,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,1.985,0.131,,,,,
51,POINT (542305.0288903399 4590309.005795515),2017-05-11,0.061,0.0768,0.0771,0.1743,0.1035,0.158,0.1706,0.1849,0.1882,0.1386,0,0,0,0,48,156,0,0,2017-03-09,63 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWF/SENTINEL2A_20170309-095021-464_L2A_T33TWF_D_V1-4_roi_0.tif,94,2CT_STRATEGA_20170511_LAI,8:35 AM,Colecchia S.A. - De Santis A.P.,41.463258,15.506586,>50 cm,69,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,1.829,0.130,,,,,
52,POINT (542305.0288903399 4590309.005795515),2017-03-29,0.061,0.0768,0.0771,0.1743,0.1035,0.158,0.1706,0.1849,0.1882,0.1386,0,0,0,0,48,156,0,0,2017-03-09,20 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWF/SENTINEL2A_20170309-095021-464_L2A_T33TWF_D_V1-4_roi_0.tif,64,2CT_STRATEGA_20170329_LAI,10:44 AM,Colecchia S.A. - De Santis A.P.,41.463258,15.506586,30-50 cm,32,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,1.390,0.198,,,,,
80,POINT (542377.9594574135 4590304.992224817),2017-03-29,0.0855,0.0998,0.1213,0.2097,0.1529,0.1876,0.2063,0.2294,0.3098,0.2373,0,0,0,0,55,158,0,0,2017-02-17,40 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWF/SENTINEL2A_20170217-095044-463_L2A_T33TWF_D_V1-4_roi_0.tif,71,9NT_STRATEGA_20170329_LAI,10:26 AM,Colecchia S.A. - De Santis A.P.,41.463218,15.507459,30-50 cm,32,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,0.783,0.106,,,,,
54,POINT (542359.9657650598 4590453.990368482),2017-03-29,0.0757,0.0943,0.1092,0.2108,0.1355,0.1886,0.2041,0.2269,0.2592,0.191,0,0,0,0,48,156,0,0,2017-03-09,20 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWF/SENTINEL2A_20170309-095021-464_L2A_T33TWF_D_V1-4_roi_0.tif,63,1NT_STRATEGA_20170329_LAI,10:36 AM,Colecchia S.A. - De Santis A.P.,41.464561,15.507254,30-50 cm,32,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,0.855,0.219,,,,,
55,POINT (542327.3405707839 4590591.8005685955),2017-04-05,0.0447,0.0634,0.0407,0.2691,0.0835,0.2299,0.2681,0.2764,0.1326,0.0739,0,0,0,0,48,156,0,0,2017-03-09,27 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWF/SENTINEL2A_20170309-095021-464_L2A_T33TWF_D_V1-4_roi_0.tif,78,F_CREA-CI_20170405_LAI,11:24 AM,Colecchia S.A. - De Santis A.P.,41.465804,15.506873,30-50 cm,34,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,4.533,0.155,,,,,
56,POINT (541995.7177933671 4598709.901919121),2017-03-21,0.0382,0.0577,0.0501,0.2212,0.0853,0.1885,0.2157,0.2309,0.1653,0.1063,0,0,0,0,48,156,0,0,2017-03-09,12 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWF/SENTINEL2A_20170309-095021-464_L2A_T33TWF_D_V1-4_roi_0.tif,20,AA.S_Capitanata.08_2017_LAI,12:37 PM,Riefolo C. - Ruggieri S.,41.538942,15.503468,30-50 cm,19,Spinach,,,Spinacio,Spinacia oleracea L.,,,,Sunny - no clouds,6.675,0.345,,,,,
57,POINT (541997.9295486691 4598802.731053609),2017-03-21,0.0465,0.0708,0.0566,0.2372,0.0984,0.2255,0.2482,0.2654,0.1668,0.1015,0,0,0,0,48,156,0,0,2017-03-09,12 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWF/SENTINEL2A_20170309-095021-464_L2A_T33TWF_D_V1-4_roi_0.tif,19,AA.S_Capitanata.07_2017_LAI,12:27 PM,Riefolo C. - Ruggieri S.,41.539778,15.503501,30-50 cm,35,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,1.295,0.389,,,,,
85,POINT (542643.065641156 4596107.745216719),2017-03-21,0.0799,0.0904,0.0955,0.1691,0.1157,0.1568,0.1706,0.1782,0.1872,0.1422,0,0,0,0,55,158,0,0,2017-02-17,32 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWF/SENTINEL2A_20170217-095044-463_L2A_T33TWF_D_V1-4_roi_0.tif,14,AA.S_Capitanata.02_2017_LAI,11:35 AM,Riefolo C. - Ruggieri S.,41.515470,15.511044,30-50 cm,35,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,1.675,0.280,,,,,
84,POINT (542643.065641156 4596107.745216719),2017-03-21,0.0691,0.0885,0.0837,0.1771,0.1111,0.1669,0.181,0.1914,0.1597,0.101,0,0,0,0,52,157,0,0,2017-02-27,22 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWF/SENTINEL2A_20170227-095613-409_L2A_T33TWF_D_V1-4_roi_0.tif,13,AA.S_Capitanata.01_2017_LAI,11:32 AM,Riefolo C. - Ruggieri S.,41.515470,15.511044,30-50 cm,35,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,1.900,0.113,,,,,
85,POINT (542643.065641156 4596107.745216719),2017-03-21,0.0691,0.0885,0.0837,0.1771,0.1111,0.1669,0.181,0.1914,0.1597,0.101,0,0,0,0,52,157,0,0,2017-02-27,22 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWF/SENTINEL2A_20170227-095613-409_L2A_T33TWF_D_V1-4_roi_0.tif,14,AA.S_Capitanata.02_2017_LAI,11:35 AM,Riefolo C. - Ruggieri S.,41.515470,15.511044,30-50 cm,35,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,1.675,0.280,,,,,
86,POINT (542729.0692336403 4597126.677271284),2017-03-21,0.0445,0.0704,0.0506,0.2521,0.0915,0.2242,0.2542,0.2652,0.1446,0.0738,0,0,0,0,52,157,0,0,2017-02-27,22 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWF/SENTINEL2A_20170227-095613-409_L2A_T33TWF_D_V1-4_roi_0.tif,15,AA.S_Capitanata.03_2017_LAI,11:55 AM,Riefolo C. - Ruggieri S.,41.524643,15.512147,30-50 cm,35,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,3.175,0.233,,,,,
87,POINT (542690.3698116635 4597222.92797065),2017-03-21,0.0402,0.0618,0.0383,0.2843,0.0818,0.2443,0.2871,0.2942,0.1321,0.0629,0,0,0,0,52,157,0,0,2017-02-27,22 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWF/SENTINEL2A_20170227-095613-409_L2A_T33TWF_D_V1-4_roi_0.tif,16,AA.S_Capitanata.04_2017_LAI,12:00 PM,Riefolo C. - Ruggieri S.,41.525512,15.511690,30-50 cm,35,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,4.560,0.566,,,,,
88,POINT (542690.3698116635 4597222.92797065),2017-03-21,0.0402,0.0618,0.0383,0.2843,0.0818,0.2443,0.2871,0.2942,0.1321,0.0629,0,0,0,0,52,157,0,0,2017-02-27,22 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWF/SENTINEL2A_20170227-095613-409_L2A_T33TWF_D_V1-4_roi_0.tif,17,AA.S_Capitanata.05_2017_LAI,12:01 PM,Riefolo C. - Ruggieri S.,41.525512,15.511690,30-50 cm,35,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,4.095,0.926,,,,,
72,POINT (542752.3937718363 4589309.213884276),2017-06-12,0.0512,0.0657,0.0866,0.1252,0.0971,0.1072,0.1198,0.1389,0.2235,0.1941,0,0,0,0,24,147,0,0,2017-05-18,25 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWF/SENTINEL2A_20170518-095716-529_L2A_T33TWF_D_V1-4_roi_0.tif,128,B_Pomodoro_20170612_LAI,11:10 AM,Colecchia S.A. - De Santis A.P.,41.454229,15.511872,10-30 cm,19,Tomato,,,Pomodoro,Solanum licopersicum L.,,160,331,Sunny - no clouds,1.927,0.75,,,,,
73,POINT (542752.3937718363 4589309.213884276),2017-06-21,0.0512,0.0657,0.0866,0.1252,0.0971,0.1072,0.1198,0.1389,0.2235,0.1941,0,0,0,0,24,147,0,0,2017-05-18,34 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWF/SENTINEL2A_20170518-095716-529_L2A_T33TWF_D_V1-4_roi_0.tif,134,B_Pomodoro_20170621_LAI,10:12 AM,Colecchia S.A. - De Santis A.P.,41.454229,15.511872,30-50 cm,70,Tomato,,,Pomodoro,Solanum licopersicum L.,,160,331,Sunny - no clouds,3.334,0.80,,,,,
74,POINT (542752.3937718363 4589309.213884276),2017-06-09,0.0512,0.0657,0.0866,0.1252,0.0971,0.1072,0.1198,0.1389,0.2235,0.1941,0,0,0,0,24,147,0,0,2017-05-18,22 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWF/SENTINEL2A_20170518-095716-529_L2A_T33TWF_D_V1-4_roi_0.tif,125,B_Pomodoro_20170609_LAI,10:16 AM,Colecchia S.A. - De Santis A.P.,41.454229,15.511872,10-30 cm,19,Tomato,,,Pomodoro,Solanum licopersicum L.,,160,331,Sunny - no clouds,1.432,0.55,,,,,
92,POINT (548735.4124326664 4595655.383694973),2017-03-21,0.0967,0.1238,0.1381,0.2591,0.1689,0.2323,0.2509,0.2725,0.2354,0.1553,0,0,0,0,52,157,0,0,2017-02-27,22 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWF/SENTINEL2A_20170227-095613-409_L2A_T33TWF_D_V1-4_roi_0.tif,21,AA.S_Capitanata.09_2017_LAI,4:22 PM,Riefolo C. - Ruggieri S.,41.511048,15.584016,30-50 cm,35,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,3.650,0.650,,,,,
76,POINT (543066.8277838087 4589399.565623091),2017-06-09,0.0585,0.0728,0.0967,0.1306,0.1049,0.111,0.1214,0.1431,0.2369,0.2094,0,0,0,0,24,147,0,0,2017-05-18,22 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWF/SENTINEL2A_20170518-095716-529_L2A_T33TWF_D_V1-4_roi_0.tif,126,C_Pomodoro_20170609_LAI,9:49 AM,Colecchia S.A. - De Santis A.P.,41.455026,15.515643,10-30 cm,19,Tomato,,,Pomodoro,Solanum licopersicum L.,,160,330,Sunny - no clouds,0.488,0.25,,,,,
94,POINT (544754.2222629546 4598076.676401409),2017-03-22,0.0404,0.0577,0.0401,0.2872,0.0843,0.2502,0.3034,0.3096,0.1406,0.0739,0,0,0,0,52,157,0,0,2017-02-27,23 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWF/SENTINEL2A_20170227-095613-409_L2A_T33TWF_D_V1-4_roi_0.tif,45,AA.S_Capitanata.33_2017_LAI,9:48 AM,Riefolo C. - Ruggieri S.,41.533089,15.536490,30-50 cm,35,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,6.060,0.460,,,,,
95,POINT (545413.9190740222 4599483.047504193),2017-03-21,0.075,0.0953,0.1013,0.2167,0.1234,0.1918,0.2108,0.2322,0.1957,0.1359,0,0,0,0,52,157,0,0,2017-02-27,22 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWF/SENTINEL2A_20170227-095613-409_L2A_T33TWF_D_V1-4_roi_0.tif,44,AA.S_Capitanata.32_2017_LAI,6:41 PM,Riefolo C. - Ruggieri S.,41.545719,15.544504,30-50 cm,19,Brocoli,,,Broccolo,Brassica oleracea var. italica,,,,Sunny - no clouds,1.590,0.940,,,,,
96,POINT (545291.7967621884 4599538.235425475),2017-03-21,0.0622,0.0737,0.0785,0.1612,0.1066,0.1646,0.1799,0.1884,0.1771,0.1217,0,0,0,0,52,157,0,0,2017-02-27,22 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWF/SENTINEL2A_20170227-095613-409_L2A_T33TWF_D_V1-4_roi_0.tif,43,AA.S_Capitanata.31_2017_LAI,6:39 PM,Riefolo C. - Ruggieri S.,41.546223,15.543044,10-30 cm,35,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,0.990,0.170,,,,,
86,POINT (542729.0692336403 4597126.677271284),2017-03-21,0.0694,0.0816,0.1038,0.1983,0.1222,0.165,0.1834,0.2097,0.2565,0.2039,0,0,0,0,65,163,0,0,2017-01-08,72 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWF/SENTINEL2A_20170108-095355-456_L2A_T33TWF_D_V1-4_roi_0.tif,15,AA.S_Capitanata.03_2017_LAI,11:55 AM,Riefolo C. - Ruggieri S.,41.524643,15.512147,30-50 cm,35,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,3.175,0.233,,,,,
87,POINT (542690.3698116635 4597222.92797065),2017-03-21,0.0795,0.0832,0.0934,0.1786,0.1188,0.1541,0.1676,0.1919,0.2473,0.2054,0,0,0,0,65,163,0,0,2017-01-08,72 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWF/SENTINEL2A_20170108-095355-456_L2A_T33TWF_D_V1-4_roi_0.tif,16,AA.S_Capitanata.04_2017_LAI,12:00 PM,Riefolo C. - Ruggieri S.,41.525512,15.511690,30-50 cm,35,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,4.560,0.566,,,,,
88,POINT (542690.3698116635 4597222.92797065),2017-03-21,0.0795,0.0832,0.0934,0.1786,0.1188,0.1541,0.1676,0.1919,0.2473,0.2054,0,0,0,0,65,163,0,0,2017-01-08,72 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWF/SENTINEL2A_20170108-095355-456_L2A_T33TWF_D_V1-4_roi_0.tif,17,AA.S_Capitanata.05_2017_LAI,12:01 PM,Riefolo C. - Ruggieri S.,41.525512,15.511690,30-50 cm,35,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,4.095,0.926,,,,,
89,POINT (543611.3858424184 4590011.56963984),2017-04-05,0.0543,0.0723,0.1118,0.2126,0.136,0.1735,0.1929,0.227,0.3147,0.2465,0,0,0,0,65,163,0,0,2017-01-08,87 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWF/SENTINEL2A_20170108-095355-456_L2A_T33TWF_D_V1-4_roi_0.tif,82,L_CREA-CI_20170405_LAI,12:20 PM,Colecchia S.A. - De Santis A.P.,41.460509,15.522207,30-50 cm,34,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,1.637,0.179,,,,,
90,POINT (543529.0448602622 4590065.918566405),2017-04-05,0.0369,0.0555,0.0888,0.1694,0.1154,0.1418,0.163,0.1951,0.2911,0.2299,0,0,0,0,65,163,0,0,2017-01-08,87 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWF/SENTINEL2A_20170108-095355-456_L2A_T33TWF_D_V1-4_roi_0.tif,81,I_CREA-CI_20170405_LAI,12:11 PM,Colecchia S.A. - De Santis A.P.,41.461003,15.521225,30-50 cm,34,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,1.477,0.220,,,,,
91,POINT (543416.7337033107 4590146.28972265),2017-04-05,0.0593,0.0772,0.1124,0.1966,0.1276,0.162,0.1824,0.2092,0.3106,0.2433,0,0,0,0,65,163,0,0,2017-01-08,87 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWF/SENTINEL2A_20170108-095355-456_L2A_T33TWF_D_V1-4_roi_0.tif,80,H_CREA-CI_20170405_LAI,12:04 PM,Colecchia S.A. - De Santis A.P.,41.461733,15.519886,30-50 cm,34,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,1.450,0.235,,,,,
92,POINT (548735.4124326664 4595655.383694973),2017-03-21,0.0808,0.0795,0.0877,0.1036,0.0838,0.0892,0.093,0.0939,0.098,0.0892,0,0,0,0,65,163,0,0,2017-01-08,72 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWF/SENTINEL2A_20170108-095355-456_L2A_T33TWF_D_V1-4_roi_0.tif,21,AA.S_Capitanata.09_2017_LAI,4:22 PM,Riefolo C. - Ruggieri S.,41.511048,15.584016,30-50 cm,35,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,3.650,0.650,,,,,
